stor_name,pi_frac,freq (MHz),gain (DAC units),len (mus),ramp_sigma (mus),phase_from_M1-S1 (deg),phase_from_M1-S2 (deg),phase_from_M1-S3 (deg),phase_from_M1-S4 (deg),phase_from_M1-S5 (deg),phase_from_M1-S6 (deg),phase_from_M1-S7 (deg),last_update
M1-S1,50,352.8671212795,3090,0.0372200247493879,0.0050080128205128,0.0,0.7396808820085534,-0.2269275643077848,0.0,0.0,0.0,0.0,2025-12-09 14:00:34.784162
M1-S2,30,880.9314430381999,13,0.0626793326517432,0.0050080128205128,-1.0640860485479129,0.0,-1.7758973429639158,0.0,0.0,-2.6959795916200897,-6.04918128714701,2025-12-09 13:50:14.570575
M1-S3,40,700.89440726309,3922,0.0464492927948296,0.0050080128205128,0.5858366286214307,2.3043506473263524,0.0,0.0,0.0,-0.6976108776086244,-2.6043135039921643,2025-12-09 14:00:35.258163
M1-S4,30,880.813564008455,9033,0.0512802061947625,0.0050080128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-09 13:13:32.932191
M1-S5,30,1057.186387129217,9987,0.0625590130269113,0.0050080128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-09 13:13:32.938190
M1-S6,40,1248.764436536901,13802,0.0465327379164719,0.0050080128205128,0.0,3.5915442133887185,1.1600436051234018,0.0,0.0,0.0,-0.9947385047820848,2025-12-09 13:13:32.944190
M1-S7,30,1426.9716321043352,9009,0.1149436211537309,0.0050080128205128,0.0,4.529378425540685,1.914683298831612,0.0,0.0,1.0453827590245202,0.0,2025-12-09 13:13:32.950190
