stor_name,pi_frac,freq (MHz),gain (DAC units),len (mus),ramp_sigma (mus),phase_from_M1-S1 (deg),phase_from_M1-S2 (deg),phase_from_M1-S3 (deg),phase_from_M1-S4 (deg),phase_from_M1-S5 (deg),phase_from_M1-S6 (deg),phase_from_M1-S7 (deg),last_update
M1-S1,50,352.81071380333435,2930,0.039002444634240796,0.0050080128205128,0.0,3.124848779259094,-0.2726895687988552,0.0,0.0,0.0,0.0,2026-01-08 15:53:05.207907
M1-S2,30,524.678959916449,5402,0.0625685161964759,0.0050080128205128,-3.4926691594620967,0.0,-3.957270265763901,0.0,0.0,-2.6959795916200897,-6.04918128714701,2026-01-08 13:19:18.909147
M1-S3,40,700.8165618182788,4453,0.04558317733185783,0.0050080128205128,0.8088744580381945,4.753306204569927,0.0,0.0,0.0,-0.6976108776086244,-2.6043135039921643,2026-01-08 13:19:18.916147
M1-S4,30,880.7784271972836,9911,0.04955406095816029,0.0050080128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01-08 13:19:18.924148
M1-S5,30,1057.0755843041445,3360,0.06606535634782541,0.0050080128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01-08 13:19:18.931149
M1-S6,40,1248.7162791852468,12734,0.04686256589850926,0.0050080128205128,0.0,3.5915442133887185,1.1600436051234018,0.0,0.0,0.0,-0.9947385047820848,2026-01-08 13:19:18.939148
M1-S7,30,1426.9286642254324,8309,0.12452937615188389,0.0050080128205128,0.0,4.529378425540685,1.914683298831612,0.0,0.0,1.0453827590245202,0.0,2026-01-08 13:19:18.946147
