stor_name,pi_frac,freq (MHz),gain (DAC units),len (mus),ramp_sigma (mus),phase_from_M1-S1 (deg),phase_from_M1-S2 (deg),phase_from_M1-S3 (deg),phase_from_M1-S4 (deg),phase_from_M1-S5 (deg),phase_from_M1-S6 (deg),phase_from_M1-S7 (deg),last_update
M1-S1,50,352.86634731921976,3093,0.03872279844700081,0.0050080128205128,0.0,3.124848779259094,-0.27268956879885525,0.0,0.0,0.0,0.0,2025-12-12 16:34:24.973475
M1-S2,30,524.6910616866703,4296,0.06345630060995347,0.0050080128205128,-3.4926691594620967,0.0,-3.9572702657639014,0.0,0.0,-2.6959795916200897,-6.04918128714701,2025-12-12 16:34:25.956365
M1-S3,40,700.8922515078854,4122,0.04619467286910203,0.0050080128205128,0.8088744580381945,4.753306204569927,0.0,0.0,0.0,-0.6976108776086244,-2.6043135039921643,2025-12-12 16:34:26.954426
M1-S4,30,880.7880714911978,9223,0.05194250561758456,0.0050080128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-12 16:07:23.151804
M1-S5,30,1057.186387129217,9987,0.06255901302691133,0.0050080128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-12 16:07:23.158501
M1-S6,40,1248.8800489522996,13802,0.04653273791647198,0.0050080128205128,0.0,3.5915442133887185,1.1600436051234018,0.0,0.0,0.0,-0.9947385047820848,2025-12-12 16:07:23.165503
M1-S7,30,1426.9716321043352,9009,0.11494362115373097,0.0050080128205128,0.0,4.529378425540685,1.914683298831612,0.0,0.0,1.0453827590245202,0.0,2025-12-12 16:07:23.172473
