target_mode,spectator_mode,eps,eps_err
1,1,0,0
1.0,2.0,0.002607008318161958,0.0005030946011606473
1.0,3.0,0.0004764453052079947,6.663109570802578e-05
1.0,4.0,-0.0005166296213032228,9.503757159424083e-05
1.0,5.0,-0.0008770997966587341,6.990198470647446e-05
1.0,6.0,-0.0007598642095033651,0.00013447898474975727
1.0,7.0,-0.0006396344073445518,0.00010280022247353659
2.0,1.0,-0.00013496740619576387,0.0001614794075236026
2,2,0,0
2.0,3.0,0.0046681086127791285,0.0007081687468947523
2.0,4.0,0.00033754281817432487,0.00010434413959784851
2.0,5.0,0.00024192253586137428,0.00012755414563883814
2.0,6.0,0.00029515299739129496,0.00010535164060364423
2.0,7.0,0.0004990748587698743,0.00013002819083086933
3.0,1.0,-7.219898093817585e-05,0.00014542622052756402
3.0,2.0,-0.00011430071873089065,8.056827222833261e-05
3,3,0,0
3.0,4.0,0.0001646936313856371,8.542074012868618e-05
3.0,5.0,4.490244390103485e-05,8.18323446034328e-05
3.0,6.0,-0.00027632479353769496,5.35050544145888e-05
3.0,7.0,-0.00045573380943321094,0.00042402475845136986
4.0,1.0,0.0003703592306408574,0.00014450382036107368
4.0,2.0,-6.1872108427978e-05,0.00014596797806674843
4.0,3.0,-0.0004909977243831448,0.0001223548226415376
4,4,0,0
4.0,5.0,0.00025808071714398585,0.0002587655078031845
4.0,6.0,0.007590411307017963,0.0005826609794015881
4.0,7.0,-0.00018113094011886199,0.00015615315534987133
5.0,1.0,-0.00023680219518146668,0.00012926594006852437
5.0,2.0,-0.00036249166056936505,0.0001932267492704524
5.0,3.0,-0.00036442307964633554,0.00020819982106577958
5.0,4.0,-0.00024906610475743156,0.00016513173975945067
5,5,0,0
5.0,6.0,-0.00026049553496698496,0.0001602342756300018
5.0,7.0,-0.00021478339887787481,0.00017381646812371983
6.0,1.0,0.0015865033914226224,0.0002830363585639631
6.0,2.0,-0.0003037191990058419,0.0003595016232164999
6.0,3.0,-0.00039094148435500474,0.00027668582431162036
6.0,4.0,-7.146726303221574e-05,0.00014046803958180708
6.0,5.0,-0.0005597375830067086,0.00030397043737321884
6,6,0,0
6.0,7.0,-0.0002963657497573395,0.00014291640368047589
7.0,1.0,0.0003807476871987987,0.0001509992554832168
7.0,2.0,0.0034166449196058506,0.00021811330690322742
7.0,3.0,-0.0005428368735556118,0.0003128208927179353
7.0,4.0,-0.00011328669681062087,0.00023340964866960811
7.0,5.0,-0.00014013232351141715,0.00025112325245224706
7.0,6.0,-5.224421933513258e-06,0.00012647854890883038
7,7,0,0
